Filename,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2002_Baker,Jo_Offcomer_CT.txt",Cont_3P,58830,58830,16.15,80.83,0,52.66,13.79,10.71,0.08,0.01,0.15,9.64,0.83,3.07,9.1,10.01,5.56,6.97,1.45,0.71,3.26,14.71,5.09,0.64,1.24,0.74,0.1,12.78,0.34,0.04,0.45,2.92,1.37,1.53,0.37,0.42,0.47,12.63,1.74,0.59,1.37,1.58,0.88,0.67,5.24,1.4,5.89,2.44,0.71,2.56,4.97,3.37,0.5,0.19,1.03,18.34,2.79,10.75,4.79,0.81,0.68,0.97,1.42,0.22,0.09,0.1,0.05,0.03,0.21,8.86,8.35,0.11,0.18,0.09,0,0.72,0,1.28,0,0,19.59
"2005_Barfoot,Joan_Luck_PW.txt",Cont_3P,74363,74363,17.07,81.31,0,53.51,12.16,6.96,0.02,0.03,0.04,5.67,1.19,5.2,5.6,10.26,6.7,3.01,5.21,0.92,5.06,13.04,7.92,1.55,3.01,1.04,0.05,10.48,0.47,0.09,0.8,5.26,3.13,2.08,0.41,0.52,0.61,17.09,1.86,1.27,1.61,3.46,1.38,0.6,5.43,3.29,3.69,1.35,0.9,1.22,2.94,1.8,0.51,0.21,0.52,13.96,1.73,7.3,4.94,0.91,1.22,0.72,1.07,0.35,0.23,0.49,0.14,0.17,0.21,5.48,9.07,0.22,0.31,0.67,0.06,0.7,0,2.34,0.03,0,18.9
"2005_Barnes,Julian_ArthurGeorge_PW.txt",Cont_3P,156946,156946,18.04,82.5,0,56.73,13.61,8.84,1.45,0.31,1.19,4.95,0.95,4.77,8.18,12.3,8.38,4.71,5.41,1.17,3.93,13.26,6.52,1.73,2.33,1.26,0.04,12.41,0.71,0.17,1.42,4.19,2.44,1.71,0.42,0.53,0.36,16.16,2.6,1.2,1.73,2.73,1.67,0.54,4.24,2.82,2.02,0.85,0.46,0.61,1.54,0.81,0.44,0.12,0.2,12.56,1.77,5.84,4.83,1.59,1.32,0.7,0.54,0.38,0.52,0.19,0.17,0.13,0.13,6.15,5.89,0.27,0.53,0.77,0.04,0.97,0,2.91,0.01,0.03,17.57
"2005_Barry,Sebastian_LongLongWay_PW.txt",Cont_3P,85370,85370,13.63,82.43,0,56.91,13.26,8.49,1.1,0.32,1.01,4.21,1.85,4.77,8.76,11.55,7.28,6.82,2.87,0.83,4.45,13.63,7,1.12,2.48,1.03,0.41,11.43,0.55,0.13,1.19,4.93,2.36,2.56,0.41,1.13,0.52,15.27,1.73,0.84,1.46,2.3,1.44,0.46,5.64,2.19,2.88,1.24,0.76,0.75,2.54,1.47,0.41,0.42,0.31,14,2.07,7.61,4.68,0.69,0.89,0.6,0.45,0.22,0.6,0.59,0.18,0.17,0.52,5.65,6.9,0.02,0.1,0.53,0.1,0.51,0,3.06,0,0,16.87
"2005_Bergen,David_TheTimeinBetween_PW.txt",Cont_3P,59705,59705,13.13,84.22,0,56.73,14.19,10.36,0.04,0.01,0.05,9.26,1,3.83,9.71,11.55,5.87,9.33,1.21,0.52,3.34,13.38,9.28,0.78,1.27,0.89,0.06,14.22,0.5,0.1,1.23,2.51,1.33,1.16,0.27,0.35,0.36,15.19,1.55,0.55,1.27,1.77,0.52,0.61,8.03,1.76,4.06,1.85,0.65,1.29,4.32,2.64,0.42,0.22,1.14,17.45,3.26,8.88,5.24,0.66,0.64,1.41,1.03,0.43,0.1,0.29,0.03,0.05,0.09,7.45,5.59,0.04,0.15,0.08,0,0.25,0,0.93,0.01,0,14.53
"2005_Doctorow,EL_TheMarch_PW.txt",Cont_3P,107669,107669,15.5,81.61,0,56.78,13.74,9.41,1.03,0.4,0.94,5.31,1.73,4.33,9,11.55,7.18,6.81,3.01,0.84,3.64,14.73,6.69,1.19,1.85,0.94,0.14,11.84,0.32,0.05,1.17,3.68,1.8,1.86,0.32,0.73,0.44,14.47,1.76,0.87,1.3,1.78,0.94,0.64,5.89,2.05,3.16,1.44,0.58,0.97,2.66,1.56,0.65,0.11,0.4,14.25,2.43,7.67,4.11,1.08,0.93,0.58,0.57,0.31,0.39,0.47,0.12,0.11,0.2,6.02,6.14,0.06,0,0.5,0.09,0.29,0.01,1.49,0,0,14.6
"2005_Fried,Golda_Nellcott_PW.txt",Cont_3P,28992,28992,14.61,81.73,0,53.76,14.09,10.54,0.04,0.01,0.14,9.23,1.11,3.55,7.78,12.22,6.56,9.46,1.55,0.53,3.96,14.22,5.58,0.68,1.93,1.04,0.07,14.04,0.65,0.13,0.72,2.9,1.66,1.22,0.32,0.38,0.29,13.18,1.46,0.73,1.27,1.6,1.09,0.46,5.64,1.52,4.36,2.14,0.71,1.22,3.94,2.1,0.29,0.36,1.27,17.02,2.82,9.57,5.01,1.42,0.67,1.83,1.51,0.5,0.2,0.12,0.05,0.03,0.68,9.1,2.74,0.07,0.1,0.1,0,0.64,0,3.03,0.01,0,15.79
"2005_Moore,Lisa_Alligator_PW.txt",Cont_3P,84702,84702,14.43,81.76,0,55.94,13.88,10.33,0.61,0.07,0.41,8.1,1.14,3.54,9.9,11.99,7.05,7.66,2.85,0.66,3.13,13.51,6.96,0.67,1.69,0.87,0.1,13.02,0.47,0.07,0.96,2.82,1.41,1.38,0.3,0.41,0.43,14.53,1.45,0.94,1.41,1.63,1.02,0.56,6.73,1.53,4.21,1.79,0.64,1.35,3.98,2.42,0.51,0.31,0.88,14.75,2.4,8.07,4.19,0.85,0.76,1.13,1.05,0.55,0.25,0.21,0.06,0.03,0.22,6.18,4.05,0.07,0.21,0.2,0.01,0.52,0.01,1.84,0,0.02,13.12
"2005_Pate,Kathy_Alphabet_PW.txt",Cont_3P,71498,71498,13.03,83.51,0,56.17,15.72,10.72,1.02,0.1,0.7,7.91,0.99,5,7.57,10.03,5.29,2.02,6.62,0.55,4.79,14.38,6.31,0.9,2.45,1.11,0.24,14.12,0.15,0.05,0.51,3.63,2.03,1.57,0.28,0.61,0.3,14.77,1.84,0.99,1.25,2.64,1.13,0.68,4.61,2.6,4.57,1.45,1.54,1.39,3.32,2.18,0.54,0.26,0.44,15.73,2.19,8.34,5.12,1.24,0.89,0.91,0.74,0.23,0.1,0.13,0.09,0.13,0.2,6.55,8.4,0.49,0.23,0.64,0.13,0.53,0,2.87,0.04,0.01,19.94
"2005_Steinke,Rene_HolySkirts_PW.txt",Cont_3P,101168,101168,15.48,80.78,0,53.49,14.11,11.01,0.09,0.02,0.07,9.86,0.97,3.1,9.3,9.75,4.96,7.16,1.37,0.63,3.52,14.35,6.44,0.65,1.49,0.94,0.05,14.29,0.29,0.09,0.99,3.54,1.95,1.56,0.39,0.48,0.38,13.32,1.71,0.9,1.58,1.91,0.71,0.61,5.1,1.94,4.79,2.06,0.72,1.63,4.42,3.05,0.4,0.36,0.78,15.09,2.29,8.32,4.46,0.88,0.78,1.25,1.01,0.41,0.14,0.14,0.03,0.02,0.29,5.84,7,0.1,0.08,0.11,0.02,0.31,0,1.48,0.02,0.04,15.01
"2006_Behrens,Peter_LawofDreams_PW.txt",Cont_3P,75984,75984,16.63,76.21,0,49.42,10.78,8.83,0.06,0.01,0.48,6.7,1.58,1.95,10.62,8.42,4.47,6.25,1.27,0.32,2.36,14.37,5.55,0.63,1.29,0.74,0.07,11.35,0.19,0.05,1.2,3.27,1.37,1.88,0.5,0.54,0.44,11.76,1.14,0.48,0.89,1.15,0.61,0.88,5.97,1.18,5.7,2.1,0.69,2.17,4.62,2.89,0.57,0.2,1.08,16.46,2.72,9.63,4.14,0.6,0.99,0.79,0.76,0.45,0.08,0.32,0.02,0.03,0.23,8.49,6.7,0.02,0.13,0.16,0.01,0.18,0,1.18,0,0.07,16.95
"2006_Cole,Trevor_TheFearsomeParticles_PW.txt",Cont_3P,69536,69536,15.61,81.27,0,54.42,13.13,8.89,1.54,0.1,0.18,6.51,0.56,4.24,9.01,10.24,5.39,6.98,1.9,0.43,3.41,15.56,6.63,0.69,1.71,1.22,0.07,9.88,0.35,0.05,0.6,3.54,1.81,1.69,0.44,0.57,0.34,14.63,1.93,1.21,1.38,2.24,0.96,0.75,5.55,1.71,4.16,1.77,0.57,1.64,3.1,2.17,0.39,0.08,0.5,15.67,2.34,8.58,4.69,1.27,1.21,0.72,1.11,0.45,0.27,0.08,0.03,0.07,0.27,5.49,6.07,0.09,0.17,0.13,0.03,1.1,0,1.77,0.1,0.06,15.12
"2006_Grenville,Kate_SecretRiver_PW.txt",Cont_3P,111304,111304,12.8,83.56,0,58.24,12.81,8.53,0.31,0.19,0.34,6.19,1.51,4.27,10.44,11.75,6.79,7.72,2.19,0.72,3.85,16.17,5.92,1.46,2.2,0.98,0.17,11.39,0.24,0.07,1.25,3.01,1.76,1.22,0.27,0.38,0.32,13.9,1.43,0.77,1.56,1.67,0.91,0.64,5.35,2.3,4.66,2.03,0.85,1.51,3.5,2.47,0.39,0.22,0.61,16.27,2.33,9.47,4.37,0.51,0.84,0.59,0.44,0.39,0.17,0.17,0.04,0.06,0.23,5.71,6.46,0.26,0,0.16,0.13,0.36,0,0.84,0,0,13.92
"2006_Kalfus,Ken_DisorderPeculiar_PW.txt",Cont_3P,60839,60839,20.36,81.43,0,52.68,12.69,8.79,0.04,0.04,0.19,7.12,1.4,3.9,8.69,10.64,6.65,7.76,1.5,0.53,3.5,13.64,5.59,0.74,2.19,0.98,0.08,12.81,0.53,0.21,1.05,4.76,2.58,2.14,0.49,0.65,0.62,13.79,1.84,0.95,1.45,2.24,1.12,0.75,4.62,1.9,3.14,1.35,0.63,1,3.11,1.84,0.52,0.29,0.57,15.24,2.35,7.62,5.24,1.66,1.31,1.11,0.96,0.68,0.22,0.18,0.05,0.08,0.18,6.45,5.95,0.34,0.25,0.2,0.03,0.7,0,1.54,0.03,0.04,15.57
"2006_Powers,Richard_EchoMaker_PW.txt",Cont_3P,124151,124151,17.82,79.65,0,51.73,14.23,10.5,0.27,0.13,0.35,8.6,1.15,3.73,7.85,8.69,4.27,4.57,2.79,0.59,3.79,14.02,4.53,1.05,2.44,1.44,0.09,14.07,0.37,0.12,0.72,4.1,1.93,2.14,0.57,0.61,0.52,13.92,1.95,0.92,1.27,2.29,1.4,0.71,4.09,2.02,3.27,1.32,0.77,0.99,3.29,1.96,0.85,0.14,0.39,16.26,2.35,8.14,5.83,1.41,1.12,1.01,0.71,0.38,0.27,0.21,0.05,0.06,0.27,8.81,6.61,0.5,0.12,0.39,0.02,0.72,0,2.1,0,0,19.28
"2006_Salter,James_LastNight_PW.txt",Cont_3P,32764,32764,12.44,83.05,0,56.31,16.84,11.45,1.79,0.31,1.62,6.67,1.05,5.39,7.42,13.98,8.34,8.36,4.04,0.58,4.28,11.85,4.95,1.35,1.95,1.33,0.03,13.52,0.59,0.18,0.7,4.09,2.7,1.38,0.31,0.32,0.38,14.14,2.18,0.77,1.56,2.53,1.33,0.46,4.04,2.48,3.06,1.39,0.67,0.83,2.7,1.36,0.4,0.25,0.76,14.5,2.47,6.89,5.29,0.81,0.81,1.31,1.06,0.32,0.16,0.15,0.29,0.14,0.3,9.62,7.47,0.03,0.08,1.24,0.08,0.33,0.03,2.66,0,0,21.55
"2006_Soucy,Gaetan_ImmaculateConception_PW.txt",Cont_3P,72653,72653,18.92,82.99,0,56.03,14.32,10.37,0.97,0.11,0.18,8.35,0.75,3.95,9.61,10.56,6.41,7.11,1.85,0.7,3.21,15.65,4.83,1.28,1.83,1.06,0.05,12.85,0.49,0.08,0.83,4.11,1.96,2.12,0.63,0.47,0.66,12.85,1.87,0.73,1.26,1.67,1.13,0.73,4.28,1.62,3.37,1.23,0.65,1.18,3.6,2.53,0.54,0.19,0.41,15.57,2.48,7.99,5.1,1.01,0.93,0.7,0.84,0.38,0.57,0.21,0.04,0.09,0.3,7.08,6.55,0.25,0.28,0.19,0.11,0.34,0,0.63,0.06,0.13,15.7
"2006_Walter,Jess_TheZero_PW.txt",Cont_3P,64175,64175,15.38,79.36,0,51.21,10.84,7.27,0.06,0.04,0.12,6.11,0.93,3.57,10.12,8.71,4,6.79,1.11,0.22,3.4,14.61,6.76,0.44,1.73,1.18,0.05,10.18,0.15,0.06,1.14,2.5,1.2,1.29,0.32,0.28,0.41,13.5,1.61,0.73,1.04,2.07,0.72,0.72,6.13,1.69,5.01,2.77,0.62,1.39,3.78,2.53,0.45,0.12,0.76,18.24,2.86,10.39,5.15,1.41,0.85,1.26,1.1,0.28,0.08,0.14,0.07,0.02,0.38,7.48,6.31,0.33,0.14,0.29,0.01,0.46,0,1.31,0.04,0.02,16.44
"2006_Waters,Sarah_NightWatch_PW.txt",Cont_3P,162687,162687,11.36,81.96,0,55.44,16.46,11.61,1.92,0.35,1.68,6.54,1.12,4.85,7.26,11.94,5.76,6.67,3.75,0.62,4.75,13.55,6.36,0.68,1.87,0.92,0.18,12.83,0.3,0.1,1.07,3.83,2.02,1.78,0.52,0.47,0.4,14.22,1.92,0.92,1.38,2.23,1.19,0.54,5.13,2.16,4.23,1.8,0.79,1.45,3.35,2.26,0.38,0.2,0.58,15.49,2.88,7.61,5.28,0.64,0.7,0.61,0.84,0.17,0.19,0.16,0.2,0.15,0.4,7,8.07,0.32,0.74,1.11,0.51,0.53,0,5.81,0,0,24.1
"2007_Hay,Elizabeth_LateNights_PW.txt",Cont_3P,80950,80950,16.17,80.29,0,52.67,12.55,8.95,0.12,0.07,0.24,7.16,1.36,3.61,8.74,9.51,4.92,6.87,1.44,0.5,3.3,15.08,6.4,0.67,1.87,1.24,0.02,12.11,0.38,0.08,0.59,3.47,2.04,1.4,0.3,0.34,0.44,13.57,1.87,0.92,1.05,1.59,0.97,0.51,5.73,1.55,4.41,1.76,0.98,1.38,2.98,1.82,0.41,0.17,0.65,17.65,2.62,9.09,5.94,1.08,0.92,1.2,0.7,0.3,0.23,0.2,0.04,0.05,0.21,6.23,7.31,0.1,0.1,0.13,0,0.66,0,1.91,0.03,0,16.51
"2007_Mcewan,Ian_ChesilBeach_PW.txt",Cont_3P,34890,34890,18.96,84.83,0,57.77,14.11,10.2,0.01,0.02,0.03,8.94,1.19,3.92,8.33,10.84,7.06,7.2,1.69,0.84,3.93,14.93,7.03,1.56,2.16,1.11,0.01,13.37,0.5,0.23,0.51,5.04,2.89,2.1,0.52,0.56,0.49,16.2,2.12,0.94,1.88,2.19,1.37,0.69,5.34,2.56,3.2,0.97,0.65,1.29,2.65,1.56,0.38,0.4,0.4,15.69,2.06,7.76,5.76,1.22,1.12,1.17,0.82,0.32,0.29,0.07,0.04,0.08,0.21,4.33,7.96,0.07,0.06,0.15,0.03,1.18,0,0.59,0.01,0,14.4
"2007_Roth,Philip_Everyman_PW.txt",Cont_3P,29767,29767,16.89,85.64,0,59.18,13.78,9.68,0.1,0.02,0.09,8.28,1.18,4.1,8.92,10.22,6.61,6.89,1.74,0.52,4.08,15.9,7.3,1.21,2.18,1.79,0.03,13.75,1.21,0.11,0.77,3.91,1.92,1.96,0.41,0.41,0.76,14.3,1.58,1.05,1.41,1.6,1.23,0.55,5.67,1.96,1.88,0.8,0.36,0.63,3.05,1.2,1.43,0.16,0.3,15.95,2.27,7.01,6.48,1.57,1.32,1.13,0.92,0.51,0.23,0.7,0.01,0.07,0.12,3.44,5.34,0.07,0.09,0.19,0.08,0.46,0,1.6,0.03,0.03,11.34
"2008_Christensen,Kate_GreatMan_PW.txt",Cont_3P,45468,45468,18.39,78.06,0,51.3,12.5,8.74,0.2,0.02,0.08,7.59,0.86,3.76,6.91,9.75,5.54,7.6,1.19,0.31,3.42,14.71,6.37,0.73,2.36,1.02,0.09,11.95,0.5,0.12,0.83,4.16,2.49,1.63,0.37,0.53,0.37,13.97,1.81,0.86,1.05,2.13,1.27,0.52,5.49,1.83,4.06,1.72,0.68,1.3,3.87,2.07,0.44,0.38,1.14,14.87,2,7.75,5.06,1.02,0.93,1.06,0.94,0.37,0.17,0.12,0.03,0.1,0.27,7.15,7.5,0.13,0.47,0.13,0.01,0.8,0,1.79,0.03,0.02,18.05
"2008_Endicott,Marina_GoodtoaFault_PW.txt",Cont_3P,100031,100031,13.71,82.23,0,53.37,12.95,9.49,0.13,0.04,0.12,8.04,1.15,3.46,7.83,11.43,6.35,7.46,2.07,0.71,3.88,14.39,5.98,1.26,1.79,0.77,0.04,12.83,0.49,0.05,1.16,4,2.14,1.85,0.42,0.43,0.53,14.27,1.5,0.92,1.66,1.76,0.94,0.74,5.33,2.26,4.13,1.81,0.78,1.27,3.92,2.39,0.68,0.16,0.75,17.2,2.95,9.3,4.97,0.79,0.76,0.92,1.68,0.44,0.34,0.18,0.06,0.06,0.3,8.11,6.85,0.18,0.16,0.21,0.08,0.5,0,1.57,0.03,0.05,17.77
